Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,profit,ROMS,ROMS %
100,Billings,Montana,Region 1,Old,3015,20541,17526,581.29,6
101,Surprise,Arizona,Region 2,Old,2160,33647,31487,1457.73,15
102,Coral Springs,Florida,Region 1,Old,3079,41319,38240,1241.96,12
103,Visalia,California,Region 2,Old,2104,45632,43528,2068.82,21
104,Killeen,Texas,Region 2,Old,2962,43773,40811,1377.82,14
105,Orange,California,Region 2,Old,2830,36821,33991,1201.1,12
106,Richardson,Texas,Region 2,Old,3228,22824,19596,607.06,6
107,South Bend,Indiana,Region 1,Old,3005,21953,18948,630.55,6
108,Fayetteville,North Carolina,Region 1,Old,3020,51229,48209,1596.32,16
109,Sioux Falls,South Dakota,Region 1,Old,2947,50583,47636,1616.42,16
110,Grand Prairie,Texas,Region 2,Old,3131,50895,47764,1525.52,15
111,Stamford,Connecticut,Region 1,Old,2901,46503,43602,1503,15
112,West Palm Beach,Florida,Region 1,Old,2926,18089,15163,518.22,5
113,Knoxville,Tennessee,Region 2,Old,3086,56504,53418,1730.98,17
114,Renton,Washington,Region 2,Old,2754,44635,41881,1520.73,15
115,McAllen,Texas,Region 2,Old,2282,43924,41642,1824.8,18
116,Woodbridge,New Jersey,Region 1,Old,3319,19811,16492,496.9,5
117,Shreveport,Louisiana,Region 1,Old,3081,56140,53059,1722.14,17
118,Bellevue,Washington,Region 2,Old,2542,40462,37920,1491.74,15
119,Huntington Beach,California,Region 2,Old,2527,54145,51618,2042.66,20
120,Santa Clarita,California,Region 2,Old,2967,51882,48915,1648.63,16
121,Sterling Heights,Michigan,Region 1,Old,2357,35022,32665,1385.87,14
122,Mobile,Alabama,Region 1,Old,2838,49290,46452,1636.79,16
123,Bridgeport,Connecticut,Region 1,Old,2914,47108,44194,1516.61,15
124,Daly City,California,Region 2,Old,2658,20703,18045,678.89,7
125,Rochester,Minnesota,Region 1,Old,2854,18099,15245,534.16,5
126,Sandy Springs,Georgia,Region 1,Old,2759,18942,16183,586.55,6
127,Cedar Rapids,Iowa,Region 1,Old,2553,52072,49519,1939.64,19
128,Columbus,Georgia,Region 1,Old,2877,55203,52326,1818.77,18
129,Moreno Valley,California,Region 2,Old,3507,59254,55747,1589.59,16
130,Pompano Beach,Florida,Region 1,Old,2608,21603,18995,728.34,7
131,Savannah,Georgia,Region 1,Old,2028,36029,34001,1676.58,17
132,West Jordan,Utah,Region 2,Old,2773,21056,18283,659.32,7
133,Des Moines,Iowa,Region 1,Old,2995,57432,54437,1817.6,18
134,Green Bay,Wisconsin,Region 1,Old,3586,18454,14868,414.61,4
135,Santa Rosa,California,Region 2,Old,3067,59060,55993,1825.66,18
136,San Mateo,California,Region 2,Old,1811,19426,17615,972.67,10
137,Warren,Michigan,Region 1,Old,2736,47262,44526,1627.41,16
138,Norwalk,California,Region 2,Old,3112,19703,16591,533.13,5
139,Lafayette,Louisiana,Region 1,Old,2603,40255,37652,1446.48,14
140,Providence,Rhode Island,Region 1,Old,3191,62337,59146,1853.53,19
141,Chattanooga,Tennessee,Region 2,New,3587,55357,51770,1443.27,14
142,Tempe,Arizona,Region 2,New,2911,48954,46043,1581.69,16
143,Joliet,Illinois,Region 1,New,3279,48315,45036,1373.47,14
144,Rancho Cucamonga,California,Region 2,New,2945,52366,49421,1678.13,17
145,Glendale,California,Region 2,New,2363,49376,47013,1989.55,20
146,Paterson,New Jersey,Region 1,New,2251,34603,32352,1437.23,14
147,Brownsville,Texas,Region 2,New,3675,63148,59473,1618.31,16
148,Rockford,Illinois,Region 1,New,2648,43377,40729,1538.1,15
149,College Station,Texas,Region 2,New,2994,22457,19463,650.07,7
150,Thousand Oaks,California,Region 2,New,2431,40141,37710,1551.21,16
